no,americans,female 18-22,my weekdays,my weekends
0,529.3733609,584.2024793,334.6,425.775
1,580.1890959,640.5082645,613.5,645
2,118.4211525,72.45454545,19.74,21.15
3,32.40959282,37.40495868,0,0
4,8.646221532,6.909090909,10.44,24.3
5,158.4179607,138.7355372,173.7,138
6,13.83756039,74.69008264,302.58,36.75
7,24.60162181,30.56198347,13.44,0
8,4.883799172,6.433884298,0,0
9,0.800465839,0.103305785,0,0
10,0.559178744,0.082644628,0,0
11,65.85205314,56.40909091,78.36,89.7
12,303.2754486,264.1487603,199.14,246.9
13,19.21635611,15.07438017,0,0
14,12.70540028,5.566115702,0,0
15,9.239648033,1.636363636,5.28,112.65
16,6.373619738,7.326446281,0,0
17,68.3015873,72.22727273,36.24,63.15
18,0,0,36,32.82857143
